GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java8-assignment-2,edu.knoldus.Model,Student,36,0,0,0,8,0,4,0,4,0
java8-assignment-2,edu.knoldus.Model,ClassRoom,30,0,0,0,7,0,4,0,4,0
java8-assignment-2,twitter.tweet.view,Application,30,0,0,0,11,0,2,0,2,0
java8-assignment-2,edu.knoldus.model,ClassRoom,15,15,0,0,1,6,1,3,1,3
java8-assignment-2,edu.knoldus.model,Student,18,18,0,0,1,7,1,3,1,3
java8-assignment-2,twitter.View,Application,30,0,0,0,11,0,2,0,2,0
java8-assignment-2,twitter.Model,Twitter,269,0,0,0,59,0,17,0,17,0
java8-assignment-2,edu.knoldus.view,StudentMainApp,112,0,0,0,18,0,2,0,2,0
java8-assignment-2,edu.knoldus.view,StudentApp,3,175,1,5,1,24,2,19,1,17
java8-assignment-2,edu.knoldus,Constant,3,25,0,0,1,8,1,1,1,1
java8-assignment-2,twitter.tweet.model,Twitter,269,0,0,0,63,0,17,0,17,0
java8-assignment-2,edu.knoldus.View,StudentApp,178,0,6,0,16,0,21,0,18,0
java8-assignment-2,edu.knoldus.View,StudentMainApp,112,0,0,0,18,0,2,0,2,0
